"","Desorganiz - Organizado","Duvidoso - Confiável","Desagradáv - Agradável","Difícil de - Fácil enco","Difícil na - Gráficos m","Muita nave - Gráficos s","Informação - Informação","Painel len - Painel é r","Parecem am - Profission","Obscuridad - Clareza na","Falta de c - Confiança","Sem tabela - Tabela cla"
"Desorganiz - Organizado",1,0.875516914605913,1,0.96078431372549,-0.0196078431372549,-0.187867287325545,-0.417620168032103,0.0808452083454443,0.563601861976635,0.296432430599963,0.738866451133721,0.733740655913284
"Duvidoso - Confiável",0.875516914605913,1,0.875516914605913,0.747392488078219,-0.405727350671033,-0.613794905523426,-0.804668142822518,-0.205438544809312,0.750193773417521,0.498922180251187,0.734696999968386,0.335100520447204
"Desagradáv - Agradável",1,0.875516914605913,1,0.96078431372549,-0.0196078431372549,-0.187867287325545,-0.417620168032103,0.0808452083454443,0.563601861976635,0.296432430599963,0.738866451133721,0.733740655913284
"Difícil de - Fácil enco",0.96078431372549,0.747392488078219,0.96078431372549,1,0.254901960784314,0.062622429108515,-0.224872398171132,0.350329236163592,0.313112145542575,0.0269484027818148,0.54611868127275,0.875754976412629
"Difícil na - Gráficos m",-0.0196078431372549,-0.405727350671033,-0.0196078431372549,0.254901960784314,1,0.939336436627724,0.738866451133721,0.943194097363517,-0.814091578410694,-0.889297291799888,-0.54611868127275,0.639064442247054
"Muita nave - Gráficos s",-0.187867287325545,-0.613794905523426,-0.187867287325545,0.062622429108515,0.939336436627724,1,0.923380516876639,0.774596669241483,-0.8,-0.774596669241483,-0.512989176042577,0.529150262212918
"Informação - Informação",-0.417620168032103,-0.804668142822518,-0.417620168032103,-0.224872398171132,0.738866451133721,0.923380516876639,1,0.485661864257183,-0.718184846459608,-0.573964021394852,-0.473684210526316,0.271448357015318
"Painel len - Painel é r",0.0808452083454443,-0.205438544809312,0.0808452083454443,0.350329236163592,0.943194097363517,0.774596669241483,0.485661864257183,1,-0.774596669241483,-0.925925925925926,-0.573964021394852,0.618070046200738
"Parecem am - Profission",0.563601861976635,0.750193773417521,0.563601861976635,0.313112145542575,-0.814091578410694,-0.8,-0.718184846459608,-0.774596669241483,1,0.946729262406257,0.923380516876639,-0.0755928946018454
"Obscuridad - Clareza na",0.296432430599963,0.498922180251187,0.296432430599963,0.0269484027818148,-0.889297291799888,-0.774596669241483,-0.573964021394852,-0.925925925925926,0.946729262406257,1,0.838870492807861,-0.29277002188456
"Falta de c - Confiança",0.738866451133721,0.734696999968386,0.738866451133721,0.54611868127275,-0.54611868127275,-0.512989176042577,-0.473684210526316,-0.573964021394852,0.923380516876639,0.838870492807861,1,0.271448357015318
"Sem tabela - Tabela cla",0.733740655913284,0.335100520447204,0.733740655913284,0.875754976412629,0.639064442247054,0.529150262212918,0.271448357015318,0.618070046200738,-0.0755928946018454,-0.29277002188456,0.271448357015318,1
